nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3    0x000001c7 0x000001c7 7   8            ascii   @.reloc
4    0x0000d424 0x0040e424 5   24   .text   utf32le Yu=!꠸
5    0x0000d93f 0x0040e93f 4   5    .text   ascii   \v\aE\n
6    0x0000d9d9 0x0040e9d9 4   5    .text   ascii   .\a(\
7    0x0000dc59 0x0040ec59 4   5    .text   ascii   \n+\vr
8    0x0000dd5c 0x0040ed5c 4   5    .text   ascii   *r]F
9    0x0000dea0 0x0040eea0 5   6    .text   ascii   \v\a\r\tE
10   0x0000deca 0x0040eeca 4   5    .text   ascii   *r]F
11   0x0000dfc3 0x0040efc3 4   5    .text   ascii   *r\eG
12   0x0000e9bc 0x0040f9bc 5   6    .text   ascii   +(\t F
13   0x0000ff56 0x00410f56 6   7    .text   ascii   \e\r\t\b\a(
14   0x00010018 0x00411018 4   5    .text   ascii   \n\f\b(
15   0x00010030 0x00411030 4   5    .text   ascii   \n\r\t(
16   0x00010092 0x00411092 6   7    .text   ascii   \n\f\br;K
17   0x000101d8 0x004111d8 9   10   .text   ascii   kl#333333
18   0x0001025c 0x0041125c 9   10   .text   ascii   kl#333333
19   0x000102c3 0x004112c3 4   5    .text   ascii   \v\aE\b
20   0x000102ea 0x004112ea 5   6    .text   ascii   +Jr]K
21   0x000102f0 0x004112f0 7   8    .text   ascii   p\n+Br\fL
22   0x000102f8 0x004112f8 7   8    .text   ascii   p\n+:r`L
23   0x00010300 0x00411300 5   6    .text   ascii   p\n+2r
24   0x00010308 0x00411308 5   6    .text   ascii   p\n+*r
25   0x00010310 0x00411310 7   8    .text   ascii   p\n+"r"M
26   0x000109a5 0x004119a5 4   5    .text   ascii   \nr\bN
27   0x00010a0e 0x00411a0e 4   5    .text   ascii   \nr.N
28   0x00010a33 0x00411a33 4   5    .text   ascii   \nrFN
29   0x00010a58 0x00411a58 4   5    .text   ascii   \nrVN
30   0x00010ad4 0x00411ad4 4   5    .text   ascii   \nr\bN
31   0x00010b3d 0x00411b3d 4   5    .text   ascii   \nr.N
32   0x00010b62 0x00411b62 4   5    .text   ascii   \nrFN
33   0x00010b87 0x00411b87 4   5    .text   ascii   \nrVN
34   0x00010c03 0x00411c03 4   5    .text   ascii   \nr\bN
35   0x00010c6c 0x00411c6c 4   5    .text   ascii   \nr.N
36   0x00010c91 0x00411c91 4   5    .text   ascii   \nrFN
37   0x00010cb6 0x00411cb6 4   5    .text   ascii   \nrVN
38   0x00010d3d 0x00411d3d 4   5    .text   ascii   \nr\bN
39   0x00010d84 0x00411d84 4   5    .text   ascii   \nr.N
40   0x00010da9 0x00411da9 4   5    .text   ascii   \nrFN
41   0x00010dce 0x00411dce 4   5    .text   ascii   \nrVN
42   0x00010ff8 0x00411ff8 4   5    .text   ascii   p\nr\e
43   0x00010ffe 0x00411ffe 4   5    .text   ascii   p\vr\e
44   0x00011004 0x00412004 4   5    .text   ascii   p\fr\e
45   0x0001100a 0x0041200a 4   5    .text   ascii   p\rr\e
46   0x0001113a 0x0041213a 4   5    .text   ascii   \n\v\aE
47   0x0001142c 0x0041242c 5   6    .text   ascii   \n-\a(H
48   0x00011447 0x00412447 4   5    .text   ascii   \nrBN
49   0x00011460 0x00412460 5   6    .text   ascii   \n-\a(H
50   0x0001147c 0x0041247c 4   5    .text   ascii   \nrBN
51   0x00011495 0x00412495 5   6    .text   ascii   \n-\a(H
52   0x000114b1 0x004124b1 4   5    .text   ascii   \nrBN
53   0x000114ca 0x004124ca 5   6    .text   ascii   \n-\a(H
54   0x000114e6 0x004124e6 4   5    .text   ascii   \nrBN
55   0x0001158f 0x0041258f 5   6    .text   ascii   \n-\a(H
56   0x000115ab 0x004125ab 4   5    .text   ascii   \nrBN
57   0x000115c4 0x004125c4 5   6    .text   ascii   \n-\a(H
58   0x000115e0 0x004125e0 4   5    .text   ascii   \nrBN
59   0x000115f9 0x004125f9 5   6    .text   ascii   \n-\a(H
