nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f7 0x000000f7 6   7            ascii   ?Rich4
2    0x00000200 0x00000200 5   6            ascii   .text
3    0x00000227 0x00000227 7   8            ascii   `.rdata
4    0x0000024f 0x0000024f 6   7            ascii   @.data
5    0x00000278 0x00000278 5   6            ascii   .rsrc
6    0x0000029f 0x0000029f 7   8            ascii   @.reloc
7    0x0000104f 0x1000104f 4   6    .text   utf8    ̋D$\f
8    0x00001055 0x10001055 4   5    .text   ascii   T$\bj
9    0x0000105c 0x1000105c 5   6    .text   ascii   D$\fRP
10   0x00001075 0x10001075 4   5    .text   ascii   T$\fj
11   0x000011a7 0x100011a7 4   5    .text   ascii   PPPj
12   0x00001241 0x10001241 4   5    .text   ascii   L$ Q
13   0x0000124e 0x1000124e 5   6    .text   ascii   D$ Ph
14   0x00001264 0x10001264 4   5    .text   ascii   PPPj
15   0x0000133f 0x1000133f 4   10   .text   utf16le jjj\r
16   0x000013dd 0x100013dd 4   5    .text   ascii   @u)j
17   0x000013e2 0x100013e2 4   9    .text   utf16le jj\r@
18   0x000014b6 0x100014b6 4   5    .text   ascii   UUUj
19   0x000014e3 0x100014e3 4   5    .text   ascii   UUSh
20   0x0000152a 0x1000152a 4   5    .text   ascii   UUUj
21   0x0000153c 0x1000153c 4   5    .text   ascii   [_^3
22   0x00001553 0x10001553 4   5    .text   ascii   UUUj
23   0x00001565 0x10001565 4   5    .text   ascii   [_^3
24   0x00001578 0x10001578 4   5    .text   ascii   F@uK
25   0x00001598 0x10001598 4   5    .text   ascii   UUUj
26   0x000015aa 0x100015aa 4   5    .text   ascii   [_^3
27   0x0000163e 0x1000163e 4   5    .text   ascii   PPPj
28   0x00001650 0x10001650 4   6    .text   utf8    3ۋD$
29   0x000016a1 0x100016a1 5   8    .text   utf8    3ۋN8ǁ
30   0x000016c1 0x100016c1 6   7    .text   ascii   u$Ph\fC
31   0x000016f5 0x100016f5 4   5    .text   ascii   \$@W
32   0x0000171a 0x1000171a 4   5    .text   ascii   t$Dj
33   0x00001722 0x10001722 5   6    .text   ascii   D$(Ph
34   0x0000173d 0x1000173d 4   5    .text   ascii   PPPj
35   0x000017cb 0x100017cb 4   6    .text   utf8    3ۉD$
36   0x000017fc 0x100017fc 6   7    .text   ascii   D$L90}
37   0x00001875 0x10001875 4   5    .text   ascii   HEJu
38   0x00001886 0x10001886 5   7    .text   utf8    l$ +Ɖ
39   0x000018b7 0x100018b7 4   5    .text   ascii   L$Hj
40   0x000018d0 0x100018d0 4   5    .text   ascii   ]^_3
41   0x00001963 0x10001963 5   6    .text   ascii   T$(Rh
42   0x00001993 0x10001993 4   5    .text   ascii   _][3
43   0x00001a1e 0x10001a1e 4   5    .text   ascii   _][3
44   0x00001a4d 0x10001a4d 5   6    .text   ascii   D$ PW
45   0x00001a82 0x10001a82 5   6    .text   ascii   D$ PW
46   0x00001ab7 0x10001ab7 4   5    .text   ascii   ^PPW
47   0x00001ace 0x10001ace 4   5    .text   ascii   PPPj
48   0x00001b1c 0x10001b1c 4   6    .text   utf8    NP\vщ
49   0x00001b47 0x10001b47 5   7    .text   utf8    VP\vʉ\b
50   0x00001b8d 0x10001b8d 4   5    .text   ascii   _][3
51   0x00001bbe 0x10001bbe 5   6    .text   ascii   uaPPP
52   0x00001bf6 0x10001bf6 4   5    .text   ascii   Ph\fC
53   0x00001c18 0x10001c18 4   5    .text   ascii   _][3
54   0x00001c43 0x10001c43 6   7    .text   ascii   u+Ph\fC
55   0x00001c67 0x10001c67 4   5    .text   ascii   _][3
56   0x00001d5d 0x10001d5d 4   5    .text   ascii   PPPj
57   0x00001d87 0x10001d87 4   5    .text   ascii   PPPj
58   0x00001daf 0x10001daf 4   5    .text   ascii   _][3
59   0x00001e00 0x10001e00 4   5    .text   ascii   PPPj
60   0x00001e12 0x10001e12 4   5    .text   ascii   _][3
61   0x00001e84 0x10001e84 4   5    .text   ascii   PPPj
62   0x00001e96 0x10001e96 4   5    .text   ascii   _][3
63   0x00001ec9 0x10001ec9 4   5    .text   ascii   PPPj
64   0x00001f21 0x10001f21 4   5    .text   ascii   PPPj
65   0x00001f33 0x10001f33 4   6    .text   utf8    3ۋL$
66   0x00001f4d 0x10001f4d 4   5    .text   ascii   PPPj
67   0x00001f5f 0x10001f5f 5   7    .text   utf8    3ۋFP%
68   0x00001f71 0x10001f71 5   6    .text   ascii   L$ QW
69   0x00001f84 0x10001f84 4   5    .text   ascii   PPPj
70   0x00001f96 0x10001f96 4   5    .text   ascii   _][3
71   0x00001fe0 0x10001fe0 4   5    .text   ascii   _][3
72   0x00002035 0x10002035 4   5    .text   ascii   L$\bj
73   0x00002063 0x10002063 4   5    .text   ascii   Pjkh
74   0x00002085 0x10002085 6   7    .text   ascii   |$\f~6j
75   0x000020e7 0x100020e7 4   5    .text   ascii   PPPj
76   0x000021e2 0x100021e2 4   5    .text   ascii   UUUj
77   0x000021f9 0x100021f9 4   5    .text   ascii   UUUW
78   0x00002209 0x10002209 4   5    .text   ascii   UUUj
79   0x0000221b 0x1000221b 4   5    .text   ascii   _[^3
80   0x0000226c 0x1000226c 4   5    .text   ascii   QRSh
81   0x00002283 0x10002283 5   6    .text   ascii   9nDu\r
82   0x0000228c 0x1000228c 7   8    .text   ascii   t\aUUUjg
83   0x00002294 0x10002294 4   5    .text   ascii   79l$
84   0x000022a1 0x100022a1 4   5    .text   ascii   Uj W
85   0x000022c7 0x100022c7 4   5    .text   ascii   UUUj
86   0x000022dc 0x100022dc 4   5    .text   ascii   _[^3
87   0x000022ed 0x100022ed 4   5    .text   ascii   F4^]
88   0x00002345 0x10002345 4   5    .text   ascii   UUUj
89   0x00002357 0x10002357 4   5    .text   ascii   _[^3
90   0x00002378 0x10002378 4   5    .text   ascii   UUUj
91   0x0000238a 0x1000238a 4   5    .text   ascii   _[^3
92   0x00002396 0x10002396 4   5    .text   ascii   PhpF
93   0x000023bf 0x100023bf 4   6    .text   utf8    ̋L$\f
94   0x000023f8 0x100023f8 4   5    .text   ascii   |$\f;
95   0x000023fd 0x100023fd 4   5    .text   ascii   }QUV
96   0x00002446 0x10002446 6   8    .text   utf8    \bMuƋL$
97   0x000024fa 0x100024fa 6   7    .text   ascii   D$\fCM2
98   0x00002525 0x10002525 4   5    .text   ascii   \fSUW
99   0x000025ad 0x100025ad 4   6    .text   utf8    \b3ۋD
100  0x0000268e 0x1000268e 7   8    .text   ascii   \f;QWhtH
101  0x000026a5 0x100026a5 5   6    .text   ascii   ;RhlH
102  0x000026c3 0x100026c3 4   5    .text   ascii   _][^
103  0x000026d4 0x100026d4 6   7    .text   ascii   D$`SUV
